season,type,teamIDs,newID,league,fromLeague,toLeague
1923,LEAVE,EG019,,N,,
1923,RENAME,CP013,CT031,N,,
1923,JOIN,CI032,,N,,
1923,JOIN,DK033,,N,,
1923,JOIN,SA034,,N,,
1924,LEAVE,TM030,,N,,
1924,LEAVE,SA034,,N,,
1924,LEAVE,LB021,,N,,
1924,LEAVE,OI028,,N,,
1924,MERGE,"CB008,CI032",CB035,N,,
1924,RENAME,BA003,BB036,N,,
1924,JOIN,FY037,,N,,
1924,JOIN,KB038,,N,,
1924,JOIN,KM039,,N,,
1925,LEAVE,RL029,,N,,
1925,LEAVE,KM039,,N,,
1925,LEAVE,MM022,,N,,
1925,UNMERGE,CB035,"CB008,CB035",N,,
1925,RENAME,KB038,KC040,N,,
1925,JOIN,DP041,,N,,
1925,JOIN,NG042,,N,,
1925,JOIN,PM043,,N,,
1925,JOIN,PS044,,N,,
1926,LEAVE,CB035,,N,,
1926,LEAVE,RI005,,N,,
1926,LEAVE,RJ007,,N,,
1926,REJOIN,RL029,,N,,
1926,REJOIN,LB021,,N,,
1926,RENAME,DK033,DE047,N,,
1926,RENAME,AP001,AI048,N,,
1926,RENAME,BB036,BR049,N,,
1926,RENAME,RL029,RT045,N,,
1926,RENAME,LB021,LC046,N,,
1926,JOIN,BL050,,N,,
1926,JOIN,HB051,,N,,
1926,JOIN,LB052,,N,,
1927,LEAVE,LB052,,N,,
1927,LEAVE,DP041,,N,,
1927,LEAVE,CB008,,N,,
1927,LEAVE,KC040,,N,,
1927,LEAVE,RT045,,N,,
1927,LEAVE,HB051,,N,,
1927,LEAVE,AI048,,N,,
1927,LEAVE,BL050,,N,,
1927,LEAVE,MB027,,N,,
1927,LEAVE,LC046,,N,,
1927,LEAVE,HP012,,N,,
1927,LEAVE,CT031,,N,,
1927,REJOIN,CB035,,N,,
1927,RENAME,BR049,BB053,N,,
1927,JOIN,NY054,,N,,
1928,LEAVE,CB035,,N,,
1928,LEAVE,DE047,,N,,
1928,LEAVE,BB053,,N,,
1928,JOIN,DW055,,N,,
1929,LEAVE,DW055,,N,,
1929,LEAVE,NY054,,N,,
1929,REJOIN,BB053,,N,,
1929,REJOIN,MM022,,N,,
1929,RENAME,PM043,BB056,N,,
1929,RENAME,MM022,MR057,N,,
1929,JOIN,OT058,,N,,
1929,JOIN,SS059,,N,,
1930,LEAVE,BB056,,N,,
1930,LEAVE,BB053,,N,,
1930,LEAVE,DT006,,N,,
1930,RENAME,OT058,NT060,N,,
1930,JOIN,BD061,,N,,
1930,JOIN,PS062,,N,,
1931,LEAVE,NT060,,N,,
1931,LEAVE,MR057,,N,,
1931,JOIN,CI063,,N,,
1932,LEAVE,PS044,,N,,
1932,LEAVE,CI063,,N,,
1932,LEAVE,FY037,,N,,
1932,JOIN,BB064,,N,,
1933,LEAVE,SS059,,N,,
1933,RENAME,BB064,BR065,N,,
1933,JOIN,PE066,,N,,
1933,JOIN,PP067,,N,,
1933,JOIN,CR068,,N,,
1934,RENAME,PS062,DL069,N,,
1934,JOIN,SG070,,N,,
1935,LEAVE,SG070,,N,,
1935,LEAVE,CR068,,N,,
1937,RENAME,BR065,WR071,N,,
1937,JOIN,CR072,,N,,
1940,RENAME,PP067,PS073,N,,
1943,LEAVE,CR072,,N,,
1943,MERGE,"PE066,PS073",PE074,N,,
1944,UNMERGE,PE074,"PE066,PS073",N,,
1944,MERGE,"CC004,PS073",CC075,N,,
1944,REJOIN,CR072,,N,,
1944,RENAME,BD061,BT076,N,,
1944,JOIN,BY077,,N,,
1945,UNMERGE,CC075,"CC004,PS073",N,,
1945,MERGE,"BT076,BY077",BY078,N,,
1946,RENAME,CR072,LR079,N,,
1946,RENAME,BY078,BY080,N,,
1946,JOIN,NY081,,AA,,
1946,JOIN,BB082,,AA,,
1946,JOIN,BD083,,AA,,
1946,JOIN,MS084,,AA,,
1946,JOIN,CB085,,AA,,
1946,JOIN,S4086,,AA,,
1946,JOIN,LD087,,AA,,
1946,JOIN,CR088,,AA,,
1947,LEAVE,MS084,,AA,,
1947,RENAME,BB082,BB089,AA,,
1947,JOIN,BC090,,AA,,
1949,LEAVE,BY080,,N,,
1949,MERGE,"NY081,BD083",NY091,AA,,
1949,RENAME,CR088,CH092,AA,,
1949,JOIN,NB093,,N,,
1950,LEAVE,BB089,,AA,,
1950,LEAVE,NY091,,AA,,
1950,LEAVE,LD087,,AA,,
1950,LEAVE,CH092,,AA,,
1950,SWITCH,CB085,,,AA,N
1950,SWITCH,S4086,,,AA,N
1950,SWITCH,BC090,,,AA,N
1950,RENAME,NB093,NY094,N,,
1951,LEAVE,BC090,,N,,
1952,LEAVE,NY094,,N,,
1952,JOIN,DT095,,N,,
1953,LEAVE,DT095,,N,,
1953,JOIN,BC096,,N,,
1960,RENAME,CC004,SC097,N,,
1960,JOIN,DC098,,N,,
1960,JOIN,HO099,,A,,
1960,JOIN,NT100,,A,,
1960,JOIN,BB101,,A,,
1960,JOIN,BP102,,A,,
1960,JOIN,LC103,,A,,
1960,JOIN,DT104,,A,,
1960,JOIN,OR105,,A,,
1960,JOIN,DB106,,A,,
1961,RENAME,LC103,SC107,A,,
1961,JOIN,MV108,,N,,
1963,RENAME,DT104,KC109,A,,
1963,RENAME,NT100,NJ110,A,,
1966,JOIN,MD111,,A,,
1966,JOIN,AF112,,N,,
1967,JOIN,NS113,,N,,
1968,JOIN,CB114,,A,,
1970,SWITCH,HO099,,,A,N
1970,SWITCH,BB101,,,A,N
1970,SWITCH,BP102,,,A,N
1970,SWITCH,OR105,,,A,N
1970,SWITCH,DB106,,,A,N
1970,SWITCH,SC107,,,A,N
1970,SWITCH,KC109,,,A,N
1970,SWITCH,NJ110,,,A,N
1970,SWITCH,MD111,,,A,N
1970,SWITCH,CB114,,,A,N
1971,RENAME,BP102,NP115,N,,
1976,JOIN,TB116,,N,,
1976,JOIN,SS117,,N,,
1982,RENAME,OR105,LR118,N,,
1984,RENAME,BC096,IC119,N,,
1988,RENAME,SC097,PC120,N,,
1994,RENAME,PC120,AC121,N,,
1995,RENAME,LR118,OR122,N,,
1995,RENAME,LR079,SR123,N,,
1995,JOIN,CP124,,N,,
1995,JOIN,JJ125,,N,,
1996,LEAVE,CB085,,N,,
1996,JOIN,BR126,,N,,
1997,RENAME,HO099,TO127,N,,
1999,REJOIN,CB085,,N,,
1999,RENAME,TO127,TT128,N,,
2002,JOIN,HT129,,N,,
2016,RENAME,SR123,LR130,N,,
2017,RENAME,SC107,LC131,N,,
2020,RENAME,OR122,LR132,N,,
2020,RENAME,WR071,WT133,N,,
2022,RENAME,WT133,WC134,N,,
